DF_split,Shape,Equilibria,PU,PL
QRE_it,QRE,QRE_it,0.482814161,0.236190673
QRE_it,QRE,QRE_it,0.48246425,0.235943153
QRE_it,QRE,QRE_it,0.482114513,0.235696945
QRE_it,QRE,QRE_it,0.481764952,0.235452042
QRE_it,QRE,QRE_it,0.48141557,0.235208437
QRE_it,QRE,QRE_it,0.481066373,0.234966123
QRE_it,QRE,QRE_it,0.480717363,0.234725095
QRE_it,QRE,QRE_it,0.480368545,0.234485346
QRE_it,QRE,QRE_it,0.480019923,0.23424687
QRE_it,QRE,QRE_it,0.4796715,0.23400966
QRE_it,QRE,QRE_it,0.47932328,0.233773711
QRE_it,QRE,QRE_it,0.478975267,0.233539016
QRE_it,QRE,QRE_it,0.478627465,0.233305569
QRE_it,QRE,QRE_it,0.478279877,0.233073364
QRE_it,QRE,QRE_it,0.477932507,0.232842395
QRE_it,QRE,QRE_it,0.477585358,0.232612655
QRE_it,QRE,QRE_it,0.477238435,0.232384139
QRE_it,QRE,QRE_it,0.476891739,0.23215684
QRE_it,QRE,QRE_it,0.476545276,0.231930753
QRE_it,QRE,QRE_it,0.476199047,0.231705872
QRE_it,QRE,QRE_it,0.475853057,0.23148219
QRE_it,QRE,QRE_it,0.475507309,0.231259702
QRE_it,QRE,QRE_it,0.475161806,0.231038402
QRE_it,QRE,QRE_it,0.474816552,0.230818283
QRE_it,QRE,QRE_it,0.474471549,0.230599341
QRE_it,QRE,QRE_it,0.474126801,0.230381568
QRE_it,QRE,QRE_it,0.47378231,0.23016496
QRE_it,QRE,QRE_it,0.473438081,0.229949511
QRE_it,QRE,QRE_it,0.473094115,0.229735214
QRE_it,QRE,QRE_it,0.472750417,0.229522065
QRE_it,QRE,QRE_it,0.472406988,0.229310057
QRE_it,QRE,QRE_it,0.472063833,0.229099184
QRE_it,QRE,QRE_it,0.471720953,0.228889442
QRE_it,QRE,QRE_it,0.471378352,0.228680824
QRE_it,QRE,QRE_it,0.471036032,0.228473325
QRE_it,QRE,QRE_it,0.470693996,0.228266939
QRE_it,QRE,QRE_it,0.470352248,0.228061661
QRE_it,QRE,QRE_it,0.470010789,0.227857485
QRE_it,QRE,QRE_it,0.469669623,0.227654406
QRE_it,QRE,QRE_it,0.469328752,0.227452418
QRE_it,QRE,QRE_it,0.468988179,0.227251516
QRE_it,QRE,QRE_it,0.468647906,0.227051695
QRE_it,QRE,QRE_it,0.468307936,0.226852948
QRE_it,QRE,QRE_it,0.467968271,0.226655271
QRE_it,QRE,QRE_it,0.467628914,0.226458658
QRE_it,QRE,QRE_it,0.467289868,0.226263104
QRE_it,QRE,QRE_it,0.466951134,0.226068603
QRE_it,QRE,QRE_it,0.466612716,0.225875151
QRE_it,QRE,QRE_it,0.466274615,0.225682742
QRE_it,QRE,QRE_it,0.465936834,0.225491371
QRE_it,QRE,QRE_it,0.465599375,0.225301033
QRE_it,QRE,QRE_it,0.465262241,0.225111722
QRE_it,QRE,QRE_it,0.464925433,0.224923433
