examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
596,Don't Control,0,7,47,614,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
555,Don't Control,0,8,47,550,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
578,Control,1,9,47,618,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
614,Don't Control,0,10,47,616,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
525,Control,1,11,47,434,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
610,Don't Control,0,12,47,594,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
493,Don't Control,0,13,47,528,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
509,Control,1,14,47,384,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
533,Control,1,2,48,462,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
666,Don't Control,0,3,48,664,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
558,Control,1,4,48,570,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
