,lambda,p1_s1,p1_s2,p2_s1,p2_s2
1844,1.844,0.27323681951841494,0.7267631804815852,0.20579077252509953,0.7942092274749004
1845,1.845,0.27319252025982227,0.7268074797401778,0.20580465769001816,0.7941953423099818
1846,1.846,0.2731482707971403,0.7268517292028597,0.2058185381144943,0.7941814618855058
1847,1.847,0.2731040710515956,0.7268959289484045,0.2058324137913527,0.7941675862086474
1848,1.848,0.2730599209445698,0.7269400790554302,0.20584628471346036,0.7941537152865397
1849,1.849,0.2730158203976017,0.7269841796023983,0.20586015087372686,0.7941398491262731
1850,1.85,0.27297176933238415,0.7270282306676159,0.2058740122651036,0.7941259877348965
1851,1.851,0.27292776767076593,0.727072232329234,0.20588786888058394,0.794112131119416
1852,1.852,0.27288381533474987,0.7271161846652502,0.20590172071320317,0.7940982792867968
1853,1.853,0.2728399122464938,0.7271600877535062,0.20591556775603834,0.7940844322439616
1854,1.854,0.272796058328309,0.7272039416716909,0.20592941000220769,0.7940705899977922
1855,1.855,0.27275225350266097,0.727247746497339,0.20594324744487066,0.7940567525551293
1856,1.856,0.27270849769216765,0.7272915023078325,0.20595708007722766,0.7940429199227723
1857,1.857,0.27266479081960027,0.7273352091803997,0.2059709078925206,0.7940290921074794
1858,1.858,0.27262113280788297,0.7273788671921171,0.20598473088403202,0.794015269115968
1859,1.859,0.2725775235800918,0.7274224764199082,0.20599854904508424,0.7940014509549157
1860,1.86,0.27253396305945493,0.7274660369405451,0.20601236236904133,0.7939876376309587
1861,1.861,0.27249045116935133,0.7275095488306487,0.20602617084930655,0.7939738291506935
1862,1.862,0.27244698783331167,0.7275530121666883,0.20603997447932393,0.7939600255206761
1863,1.863,0.2724035729750175,0.7275964270249826,0.2060537732525771,0.7939462267474229
1864,1.864,0.2723602065183006,0.7276397934816993,0.2060675671625896,0.7939324328374106
1865,1.865,0.2723168883871432,0.7276831116128568,0.20608135620292453,0.7939186437970756
1866,1.866,0.27227361850567644,0.7277263814943236,0.20609514036718476,0.7939048596328152
1867,1.867,0.2722303967981819,0.727769603201818,0.20610891964901215,0.7938910803509879
1868,1.868,0.2721872231890899,0.7278127768109101,0.20612269404208788,0.7938773059579121
1869,1.869,0.2721440976029793,0.7278559023970207,0.20613646354013185,0.7938635364598683
1870,1.87,0.2721010199645775,0.7278989800354225,0.20615022813690306,0.7938497718630969
1871,1.871,0.27205799019875976,0.7279420098012402,0.20616398782619916,0.7938360121738008
1872,1.872,0.2720150082305496,0.7279849917694505,0.2061777426018562,0.7938222573981438
1873,1.873,0.2719720739851168,0.7280279260148833,0.20619149245774906,0.793808507542251
1874,1.874,0.27192918738777955,0.7280708126122204,0.20620523738778995,0.7937947626122102
1875,1.875,0.271886348364002,0.7281136516359981,0.20621897738592984,0.7937810226140701
